id,menu_name,price,restaurant_id
521,제주 생오겹살,15000,265
522,제주 생목살,15000,265
523,조개찜,43000,266
524,"키조개, 차돌삼합",45000,266
525,촉촉오징어,8000,267
526,모둠소시지,13000,267
527,브루클린 라거,10000,267
528,무한리필 성인 1인,21900,268
529,짜장면,6000,269
530,짬뽕,7000,269
531,아메리카노,4000,270
532,순살양념구이,20000,271
533,순살소금구이,19000,271
534,윌리제이미트파이,7900,272
535,애플시나몬하이볼,10000,272
536,건강한방삼계탕,17000,273
537,미용한방삼계탕,17000,273
538,알찬세트,28000,274
539,야채곱창세트(2인분),28000,274
540,돼지갈비찜(중),32000,275
541,소갈비찜(중),42000,275
542,돈냉면,8000,276
543,2장돈까스,8000,276
544,뉴바삭치킨,17000,277
545,떠먹는피자 ,18000,277
546,짜장쌀국수,7800,278
547,냄비쌀국수,9800,278
548,떡볶이,2500,279
549,순대,3000,279
550,오리지널두루치기,19000,280
551,매콤간장두루치기,19000,280
552,불향차돌세트,23500,281
553,통큰오짱세트,23500,281
554,흑돼지오겹살(150g),15000,282
555,소고기모듬(600g),68000,282
556,라면,3000,283
557,김밥,3000,283
558,모듬찜 대,60000,284
559,아구찜 대,45000,284
560,선지해장국,7000,285
561,콩나물해장국,7000,285
562,뼈해장국,9000,285
563,란저우라멘,7000,286
564,도삭면,8000,286
565,아메리카노,3800,287
566,칵테일,5800,287
567,로제치즈닭볶이,16000,288
568,간사이오뎅탕,14000,288
569,춘천닭갈비 2인,20000,289
570,치즈닭갈비 2인,22000,289
571,오돌뼈,10000,290
572,뼈없는닭발,15000,290
573,뼈 까망찜닭(소),22000,291
574,뼈 까망찜닭(중),30000,291
575,뼈 까망찜닭(대),38000,291
576,일반치즈밥,7500,292
577,스페셜치즈밥,8000,292
578,옥수수크림치킨,20900,293
579,양파치킨,18900,293
580,웰빙 스테이크,9900,295
581,간장 스테이크,10900,295
582,칠기 볶음밥,8500,296
583,,9500,296
584,마라탕 야채100g,1700,297
585,꿔바로오 소,6000,297
586,아메리카노,4000,298
587,카페라떼,4500,298
588,햄더블치즈파니니 + 아메리카노,10800,299
589,베이컨 듬뿍 투움바 파스타 + 아메리카노,13800,299
590,아메리카노,2500,300
591,수제마카롱,1900,300
592,플랫화이트,4300,301
593,카페라떼,4500,301
594,아메리카노,3000,302
595,크렌베리치킨샌드위치,3500,302
596,흑임자 아인슈페너,5000,303
597,히망,5000,303
598,치즈피자,8000,304
599,닭가슴살샐러드,6000,304
600,아띠스페셜,8000,304
601,아메리카노,3500,306
602,카페라떼,4000,306
603,아메리카노,4000,307
604,베이컨 파 크림치즈 베이글,5900,308
605,원트리 머루 뱅쇼,7300,308
606,백야커피,5800,309
607,카페라떼,4500,309
608,아메리카노,1500,310
609,곡물라떼,4300,310
610,아메리카노,1500,311
611,카페라떼,2900,311
612,아메리카노,2500,312
613,리얼허니트랩,8500,313
614,레드치즈,8500,313
615,콩감자탕(소),28000,315
616,콩뼈,8500,315
617,참숯뼈구이 소,30000,315
618,콩시래기감자탕 소,28000,315
619,간사이스지오뎅나,18000,316
620,모둠꼬치튀김(중),18000,316
621,쿠마카츠정식,15000,317
622,매운치즈카츠나베정식,15000,317
623,돈코츠챠슈라멘,9000,318
624,매운돈코츠라멘,8000,318
625,더블 치즈 스테이크 R,8900,319
626,트레디셔널 R,6700,319
627,큰맘순대국,9000,320
628,순대국,9000,320
629,버터스카치스콘,3800,321
630,단호박스콘,3600,321
631,타마고 마제소바,11000,321
632,카츠 마제소바,13500,321
633,생돈까스,8500,323
634,들깨탕,22000,324
635,뼈찜,22000,324
636,로제떡볶이,9500,325
637,문어사합코스,49000,326
638,문어삼겹,38000,326
639,고등어구이,10000,327
